CSC101,2
CSC101,2
CSC101,3
CSC101,3
CSC110,2
CSC110,3
CSC111,2
CSC111,2
CSC111,3
CSC111,3
CSC111,4
CSC111,2
CSC111,3
CSC111,4
CSC210,2
CSC210,3
CSC210,4
CSC210,2
CSC211,3
CSC211,4
CSC211,1
CSC211,2
CSC211,3
CSC211,3
CSC211,4
CSC211,2
CSC215,2
CSC215,2
CSC215,3
CSC230,4
CSC230,2
CSC231,2
CSC231,2
CSC231,3
CSC310,3
CSC310,3
CSC330,2
CSC330,2
CSC331,2
CSC331,2
CSC331,3
CSC331,4
CSC331,3
CSC331,3
CSC331,4
CSC331,2
CSC350,3
CSC350,4
CSC350,2
CSC350,2
CSC350,3
CSC350,4
CSC410,2
CSC410,2
CSC430,3
CSC430,4
CSC450,2
CSC450,2
CSC470,2
CSC470,3
CSC470,2
